Class			Request					Folder\File
DISTRIBUTION		CreateDistributionListRequest		\Admin\DistributionList\distributionlist_create
DISTRIBUTION		GetDistributionListRequest		\Admin\DistributionList\distributionlist_get
DISTRIBUTION		GetAllDistributionListsRequest		\Admin\DistributionList\distributionlist_getall
DISTRIBUTION		ModifyDistributionListRequest		\Admin\DistributionList\distributionlist_modify
DISTRIBUTION		DeleteDistributionListRequest		\Admin\DistributionList\distributionlist_delete
DISTRIBUTION		AddDistributionListMemberRequest	\Admin\DistributionList\distributionlist_addmember
DISTRIBUTION		RemoveDistributionListMemberRequest	\Admin\DistributionList\distributionlist_removemember
DISTRIBUTION		AddDistributionListAliasRequest		\Admin\DistributionList\distributionlist_addAlias
DISTRIBUTION		RemoveDistributionListAliasRequest	\Admin\DistributionList\distributionlist_removeAlias
DISTRIBUTION		GetDistributionListMembershipRequest	\Admin\DistributionList\distributionlist_getmembership

ForeignPrincipal	CreateAccountRequest			\Admin\Accounts\ForeignPrincipal\account_create
ForeignPrincipal	GetAccountRequest			\Admin\Accounts\ForeignPrincipal\account_get
ForeignPrincipal	GetAccountMembershipRequest		\Admin\Accounts\ForeignPrincipal\account_getmembership
ForeignPrincipal	ModifyAccountRequest			\Admin\Accounts\ForeignPrincipal\account_modify
ForeignPrincipal	CreateCalendarResourceRequest		\Admin\Accounts\ForeignPrincipal\resource_create
ForeignPrincipal	GetCalendarResourceRequest		\Admin\Accounts\ForeignPrincipal\resource_get
ForeignPrincipal	ModifyCalendarResourceRequest		\Admin\Accounts\ForeignPrincipal\resource_modify
ForeignPrincipal	SearchDirectoryRequest			\Admin\Accounts\ForeignPrincipal\SearchDirectoryRequest
ForeignPrincipal	BackupRequest				\Admin\Accounts\ForeignPrincipal\BackupRequest

AddressBookSizeLimit						\Admin\Accounts\AddressBookSizeLimit\addressbook_size_limit

CLUSTER			GetClusterStatusRequest
CLUSTER			FailoverClusterServiceRequest

Index			ReIndexRequest				\Admin\Miscellaneous\reindex_request

ACL			FolderActionRequest			\Admin\ACL\acl_basic
ACL			AddDistributionListMemberRequest	\Admin\ACL\acl_modify
ACL			AddDistributionListMemberRequest	\Admin\ACL\acl_recursive
ACL			RemoveDistributionListMemberRequest	\Admin\ACL\acl_remove

CONTEXT								\Admin\Context\context

ExternalAuthentication	CheckAuthConfigRequest			\Admin\ExternalAuthentication\CheckAuthConfigAD	
ExternalAuthentication	CheckAuthConfigRequest			\Admin\ExternalAuthentication\CheckAuthConfigLDAP
ExternalAuthentication	CheckGalConfigRequest			\Admin\ExternalAuthentication\CheckGalConfigAD
ExternalAuthentication	CheckGalConfigRequest			\Admin\ExternalAuthentication\CheckGalConfigLDAP
ExternalAuthentication	CreateDomainRequest			\Admin\ExternalAuthentication\domains_create

GAL			AutoCompleteGalRequest			\Admin\GAL\autocomplate_gal
GAL			SearchGalRequest			\Admin\GAL\hideaccounts_gal

MAILQUEQE		GetMailQueueRequest			\Admin\MailQueue\mailqueue_get
MAILQUEQE		GetMailQueueInfoRequest			\Admin\MailQueue\mailqueue_getinfo

PASSWORD		ChangePasswordRequest			\Admin\Passwords\NormalUser_aged_password
PASSWORD		ChangePasswordRequest			\Admin\Passwords\NormalUser_history_password
PASSWORD		SetPasswordRequest			\Admin\Passwords\password_set

RESOURCE		CreateCalendarResourceRequest		\Admin\Resource\resource_create
RESOURCE		DeleteCalendarResourceRequest		\Admin\Resource\resource_delete
RESOURCE		GetCalendarResourceRequest		\Admin\Resource\resource_get
RESOURCE		GetAllCalendarResourcesRequest		\Admin\Resource\resource_getall
RESOURCE		GetFreeBusyRequest			\Admin\Resource\resource_getfreebusy
RESOURCE		ModifyCalendarResourceRequest		\Admin\Resource\resource_modify
RESOURCE		RenameCalendarResourceRequest		\Admin\Resource\resource_rename
RESOURCE		SearchCalendarResourcesRequest		\Admin\Resource\resource_search

ZIMLETS			ModifyZimletRequest			\Admin\Zimlets\aclZimlets
ZIMLETS			GetZimletStatusRequest			\Admin\Zimlets\aclZimlets
ZIMLETS			DeployZimletRequest			\Admin\Zimlets\deployZimlets
ZIMLETS								\Admin\Zimlets\newCosZimlets
ZIMLETS			GetZimletStatusRequest			\Admin\Zimlets\ootbZimlets
ZIMLETS			CreateZimletRequest
ZIMLETS			DeleteZimletRequest
ZIMLETS			GetZimletRequest
ZIMLETS			UndeployZimletRequest
ZIMLETS			ListZimletsRequest
ZIMLETS			ConfigureZimletRequest

LOOPS			CreateAccountRequest			\Loops\Loop_Admin\Account\accounts_loop
LOOPS			CreateCosRequest			\Loops\Loop_Admin\Cos\cos_loop
LOOPS			AddDistributionListMemberRequest	\Loops\Loop_Admin\DistributionList\distributionlist_addmember_loop
LOOPS			SendMsgRequest				\Loops\Loop_Admin\DistributionList\distributionlist_sendmail
LOOPS			CreateDistributionListRequest		\Loops\Loop_Admin\DistributionList\distributionlist_loop
LOOPS			GetDistributionListRequest		\Loops\Loop_Admin\DistributionList\distributionlist_loop
LOOPS			DeleteDistributionListRequest		\Loops\Loop_Admin\DistributionList\distributionlist_loop
LOOPS			GetAllDistributionListsReques		\Loops\Loop_Admin\DistributionList\distributionlist_loop
LOOPS			AddDistributionListMemberRequest	\Loops\Loop_Admin\DistributionList\distributionlist_loop
LOOPS			RemoveDistributionListMemberRequest	\Loops\Loop_Admin\DistributionList\distributionlist_loop
LOOPS			CreateDomainRequest			\Loops\Loop_Admin\Domains\domain_loop
LOOPS			GetAllDomainsRequest			\Loops\Loop_Admin\Domains\domain_loop
LOOPS			DeleteDomainRequest			\Loops\Loop_Admin\Domains\domain_loop
LOOPS			GetDomainRequest			\Loops\Loop_Admin\Domains\domain_loop
LOOPS			ModifyDomainRequest			\Loops\Loop_Admin\Domains\domain_loop

HSM				AbortHsmRequest			\Admin\HSM\AbortHsm.xml
HSM				GetHsmStatusRequest			\Admin\HSM\GetHsmStatus.xml
HSM				HsmRequest				\Admin\HSM\Hsm.xml
