Feature			Request					Folder\File
MESSAGES		lmtpInjectRequest			\MultiNode\MailClient\Mail\MsglmtpinjectMultinode

PASSWORD		ChangePasswordRequest			\MailClient\Passwd\aged_password
PASSWORD		ChangePasswordRequest			\MailClient\Passwd\password_basic
PASSWORD		ChangePasswordRequest			\MailClient\Passwd\locked_password
PASSWORD		ChangePasswordRequest			\MailClient\Passwd\length_password
PASSWORD		ChangePasswordRequest			\MailClient\Passwd\history_password
PASSWORD		ChangePasswordRequest			\MailClient\Passwd\change_password
PASSWORD		SetPasswordRequest	
		
AUTHENTICATION		AuthRequest				\MailClient\Auth\auth_basic
AUTHENTICATION		AuthRequest				\MailClient\Auth\auth_expired
AUTHENTICATION		AuthRequest				\MailClient\Auth\auth_invalid
AUTHENTICATION		AuthRequest				\MailClient\Auth\auth_negative
AUTHENTICATION		AuthRequest				\MailClient\Auth\auth_virtualhost
AUTHENTICATION		AuthRequest				\MailClient\Auth\test_authtoken
AUTHENTICATION		AuthRequest				\MailClient\Auth\ExternalAuthentication\auth_ActiveDirectory
AUTHENTICATION		AuthRequest				\MailClient\Auth\ExternalAuthentication\auth_basic
AUTHENTICATION		AuthRequest				\MailClient\Auth\ExternalAuthentication\auth_LDAP
AUTHENTICATION		AuthRequest				\MailClient\Auth\Multihost\multihost_auth_basic
AUTHENTICATION		AuthRequest				\MailClient\Auth\SMTP\smtpRelayForwarding
AUTHENTICATION		AuthRequest				\MailClient\Auth\VirtualHost\virtualhost_auth_basic
AUTHENTICATION		AuthRequest				\MultiNode\MailClient\Auth\auth_refer
AUTHENTICATION		AuthRequest				\MultiNode\MailClient\Auth\AuthBasicMultinode

NOTES			NoteActionRequest			\MailClient\Notes\notes_basic
NOTES			GetNoteRequest				\MailClient\Notes\notes_basic
NOTES			CreateNoteRequest			\MailClient\Notes\notes_basic

CALENDAR		GetApptSummariesRequest			\MailClient\Calender\calender_GetApptSummaries
CALENDAR		GetFreeBusyRequest			\MailClient\Calender\calendar_getfreebusy
CALENDAR		CreateAppointmentRequest		\MailClient\Calender\appointment_create
CALENDAR		ModifyAppointmentRequest		\MailClient\Calender\appointment_modify
CALENDAR		SendInviteReplyRequest			\MailClient\Calender\calendar_sendInviteReply
CALENDAR		CancelAppointmentRequest		\MailClient\Calender\appointment_cancel
CALENDAR		CreateAppointmentExceptionRequest	\MailClient\Calender\appointmentexception_crete
CALENDAR		ModifyAppointmentExceptionRequest 	\MailClient\Calender\appointmentexception_modify
CALENDAR		CancelAppointmentExceptionRequest	\MailClient\Calender\appointmentexception_cancel
CALENDAR		ExpandRecurRequest 			\MailClient\Calender\ExpandRecur
CALENDAR		GetFreeBusyRequest 			\MailClient\Calender\calendarTZ_getfreebusy
CALENDAR		GetFreeBusyRequest 			\MailClient\Calender\calendar_getfreebusy4418
CALENDAR		GetFreeBusyRequest 			\MailClient\Calender\calendar_getfreebusy01
CALENDAR		GetFreeBusyRequest 			\MailClient\Calender\calendar_getfreebusy
CALENDAR		SendInviteReplyRequest 			\MailClient\Calender\appointment_tz_sendReply
CALENDAR		CreateAppointmentRequest 		\MailClient\Calender\appointment_timezone
CALENDAR		GetAppointmentRequest 			\MailClient\Calender\appointment_get
CALENDAR		SetAppointmentRequest 			\MailClient\Calender\appointment_set
CALENDAR		CreateAppointmentRequest		\MailClient\Calender\appointment_recur_flow
CALENDAR		CreateAppointmentRequest 		\MailClient\Calender\appointment_create02
CALENDAR		GetFreeBusyRequest			\MultiNode\MailClient\Calendar\multinodecal_getfreebusy

iCAL			CreateAppointmentRequest		\MailClient\iCal\ical_CreateAppointmentRequest
iCAL			lmtpInjectRequest			\MailClient\iCal\ical_lmtpinject
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_100
iCAL			GetICalRequest				\MailClient\iCal\RequestReply\accept_100
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_101
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_102
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_103
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_104
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_105
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_106
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_107
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_108
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_109
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_110
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_111
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_112
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_113
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_115
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_200
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_201
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_202
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_203
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_204
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_205
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_206
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_207
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\accept_500
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\decline_102
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\decline_107
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\decline_110
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\tentative_103
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\tentative_107
iCAL			SendInviteReplyRequest			\MailClient\iCal\RequestReply\tentative_110
iCAL			GetApptSummariesRequest			\MailClient\iCal\MS_Outlook_2003\outlook_ical_basic
iCAL			GetApptSummariesRequest			\MailClient\iCal\MS_Outlook_2003\outlook_ical_recur
iCAL			lmtpInjectRequest			\MailClient\iCal\MS_Outlook_2000\outlook_ical_raw
iCAL			lmtpInjectRequest			\MailClient\iCal\Apple_iCal_1_0\apple_ical_raw

ITEM			ItemActionRequest			\MailClient\Item\itemaction_conversation
ITEM			ItemActionRequest			\MailClient\Item\itemaction_message
ITEM			ItemActionRequest			\MailClient\Item\itemaction_folder
ITEM			ItemActionRequest			\MailClient\Item\itemaction_contact
ITEM			ItemActionRequest			\MailClient\Item\itemaction_tags

ALARMS			CreateAlarmRequest	
ALARMS			ModifyAlarmRequest	
ALARMS			GetAlarmRequest	
ALARMS			GetAlarmsRequest	

SEARCH			SearchRequest				\MailClient\Search\search.date
SEARCH			SearchRequest				\MailClient\Search\search.folders
SEARCH			SearchRequest				\MailClient\Search\search.browseby
SEARCH			SearchRequest				\MailClient\Search\search_attach
SEARCH			SearchRequest				\MailClient\Search\search_flags
SEARCH			SearchRequest				\MailClient\Search\search_domain
SEARCH			SearchRequest				\MailClient\Search\search_basic
SEARCH			SearchRequest				\MailClient\Search\search_mbx_user
SEARCH			SearchRequest				\MailClient\Search\search_types
SEARCH			SearchRequest				\MailClient\Search\searchGAL
SEARCH			SearchRequest				\MailClient\Search\search_fetch.xml
SEARCH			SearchRequest				\MailClient\Search\search_html.xml
SEARCH			SearchRequest				\MailClient\Search\search_read.xml
SEARCH			SearchRequest				\MailClient\Search\search_encoded
SEARCH			SearchRequest				\MailClient\Search\AllItems\search_allitem
